OTU,Sample,Abundance,date,location,carbon,timepoint,air_temp,Kingdom,Phylum,Class,Order,Family,Genus,Species
56de9f39ed1fcd41057cef79f44af687,RAS3,44,5/24/2021,ras,y,77,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,C13,44,11/29/2021,control,y,266,35,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T16,42,7/26/2021,test,n,140,83,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T20,42,8/23/2021,test,n,168,79,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,RAS1,42,3/8/2021,ras,n,0,54,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T28,41,10/18/2021,test,y,224,60,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T34,41,11/29/2021,test,y,266,35,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T36,41,1/12/2022,test,y,310,37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T18,40,8/9/2021,test,n,154,76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,C15,40,12/13/2021,control,y,280,42,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T27,39,10/11/2021,test,y,217,70,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T12,38,6/28/2021,test,n,112,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C14,38,12/6/2021,control,y,273,29,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T3,38,4/26/2021,test,n,49,61,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T13,37,7/6/2021,test,n,120,84,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T23,37,9/13/2021,test,y,189,77,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,RAS11,35,1/12/2022,ras,y,310,37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T24,35,9/21/2021,test,y,197,67,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,RAS7,34,9/7/2021,ras,y,183,75,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T5,34,5/13/2021,test,y,66,57,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T7,33,5/24/2021,test,y,77,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C15,33,12/13/2021,control,y,280,42,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T17,33,8/2/2021,test,n,147,71,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
0528c8d6cf081ba719cf96cb550150fb,C10,31,11/8/2021,control,y,245,56,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
2cdfd4eb9f47e15fc6518f62e3b61ea6,T1,30,3/8/2021,test,n,0,54,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C16,30,1/12/2022,control,y,310,37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,RAS5,28,7/19/2021,ras,n,133,76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,C12,28,11/22/2021,control,y,259,30,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C1,27,9/7/2021,control,y,183,75,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T35,27,12/13/2021,test,y,280,42,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T4,25,5/3/2021,test,y,56,63,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T28,25,10/18/2021,test,y,224,60,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T15,24,7/19/2021,test,n,133,76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T29,24,10/26/2021,test,y,232,50,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C13,23,11/29/2021,control,y,266,35,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T2,23,4/19/2021,test,n,42,47,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
51eecedf6995cfa88867badb6a43b3d8,RAS9,22,11/15/2021,ras,y,252,34,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T8,22,6/1/2021,test,y,85,66,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T31,22,11/8/2021,test,y,245,56,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
b77657f1a0921612f77bd5f42d66e29a,C5,22,10/4/2021,control,y,210,68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T26,21,10/4/2021,test,y,210,68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
b77657f1a0921612f77bd5f42d66e29a,C4,21,9/27/2021,control,y,203,72,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
b77657f1a0921612f77bd5f42d66e29a,C9,21,11/1/2021,control,y,238,42,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,RAS1,18,3/8/2021,ras,n,0,54,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,T32,18,11/15/2021,test,y,252,34,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T10,17,6/14/2021,test,y,98,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,RAS2,17,4/19/2021,ras,n,42,47,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C12,16,11/22/2021,control,y,259,30,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,C11,16,11/15/2021,control,y,252,34,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T6,15,5/17/2021,test,y,70,64,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T25,15,9/27/2021,test,y,203,72,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T1,15,3/8/2021,test,n,0,54,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T36,13,1/12/2022,test,y,310,37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,RAS7,13,9/7/2021,ras,y,183,75,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T5,12,5/13/2021,test,y,66,57,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T3,12,4/26/2021,test,n,49,61,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T21,12,8/30/2021,test,n,175,77,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,RAS10,12,12/13/2021,ras,y,280,42,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,C10,12,11/8/2021,control,y,245,56,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
51eecedf6995cfa88867badb6a43b3d8,C7,11,10/18/2021,control,y,224,60,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T33,11,11/22/2021,test,y,259,30,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T34,11,11/29/2021,test,y,266,35,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,RAS8,11,10/18/2021,ras,y,224,60,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,T14,11,7/12/2021,test,n,126,71,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C6,10,10/11/2021,control,y,217,70,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C2,9,9/13/2021,control,y,189,77,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,C6,9,10/11/2021,control,y,217,70,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
da2817e931789ac32c19f8aad68b9746,RAS7,9,9/7/2021,ras,y,183,75,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Ca_Dechloromonas_phosphoritropha
51eecedf6995cfa88867badb6a43b3d8,T32,8,11/15/2021,test,y,252,34,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
51eecedf6995cfa88867badb6a43b3d8,C10,8,11/8/2021,control,y,245,56,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,C7,7,10/18/2021,control,y,224,60,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
56de9f39ed1fcd41057cef79f44af687,C3,5,9/21/2021,control,y,197,67,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
543e0a95760961a26482aed36b005dc1,T7,4,5/24/2021,test,y,77,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
2feeff5df84be3663d48db014a1c9ac8,C10,3,11/8/2021,control,y,245,56,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8717744be592c8beffade9c24a1887b2,C3,3,9/21/2021,control,y,197,67,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
bf405860e02c507548fe31e82ab00180,T15,3,7/19/2021,test,n,133,76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
b97feaa9534bcb02d45de71c719bdfa2,T6,2,5/17/2021,test,y,70,64,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
eca049cbc6c5f7e8e62e428ddbb6f33a,RAS11,2,1/12/2022,ras,y,310,37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
8273c93f65b8d6b64ec40932616da1f3,C14,1,12/6/2021,control,y,273,29,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA
0528c8d6cf081ba719cf96cb550150fb,T24,0,9/21/2021,test,y,197,67,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T16,0,7/26/2021,test,n,140,83,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T11,0,6/21/2021,test,n,105,68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,RAS3,0,5/24/2021,ras,y,77,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T25,0,9/27/2021,test,y,203,72,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T10,0,6/14/2021,test,y,98,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,RAS7,0,9/7/2021,ras,y,183,75,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T17,0,8/2/2021,test,n,147,71,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,RAS5,0,7/19/2021,ras,n,133,76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,RAS2,0,4/19/2021,ras,n,42,47,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,C9,0,11/1/2021,control,y,238,42,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T12,0,6/28/2021,test,n,112,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T26,0,10/4/2021,test,y,210,68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,RAS6,0,8/16/2021,ras,n,161,73,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,C15,0,12/13/2021,control,y,280,42,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,RAS4,0,6/21/2021,ras,n,105,68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T18,0,8/9/2021,test,n,154,76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T27,0,10/11/2021,test,y,217,70,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T4,0,5/3/2021,test,y,56,63,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,RAS8,0,10/18/2021,ras,y,224,60,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T21,0,8/30/2021,test,n,175,77,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T19,0,8/16/2021,test,n,161,73,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T28,0,10/18/2021,test,y,224,60,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,RAS1,0,3/8/2021,ras,n,0,54,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T13,0,7/6/2021,test,n,120,84,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T7,0,5/24/2021,test,y,77,74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T2,0,4/19/2021,test,n,42,47,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,C16,0,1/12/2022,control,y,310,37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
0528c8d6cf081ba719cf96cb550150fb,T34,0,11/29/2021,test,y,266,35,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_1978
